,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DIS,DWDP,XOM,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UTX,UNH,VZ,V,WMT,WBA
0,106.34,91.34,167.48,324.775,144.575,112.485,41.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,106.34,91.335,167.405,324.365,144.58,112.445,41.245,42.965,0,62.07,73.485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,213.135,91.335,167.38,324.355,144.585,112.435,41.265,43.005,0,62.05,73.51,247.69,173.005,150.645,49.405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,213.135,91.42,167.52,324.42,144.57,112.395,41.16,43.04,0,62.025,73.425,247.745,173.05,150.51,49.565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,213.245,91.42,167.49,324.295,144.535,112.295,41.2,42.995,0,62.04,73.355,247.715,173.075,150.375,49.625,125.095,108.275,0,0,0,0,0,0,0,0,0,0,0,0,0
5,213.015,91.385,167.24,323.34,144.535,112.39,41.185,42.935,0,62.025,73.33,248.065,173.14,150.24,49.5,125.005,108.245,157.475,53.07,89.575,0,0,0,0,0,0,0,0,0,0
6,212.87,91.18,167.115,324.385,144.535,112.365,41.175,42.96,0,62.045,73.35,248.24,173.17,150.27,49.415,125.005,108.23,157.45,53.1,89.585,64.405,0,0,0,0,0,0,0,0,0
7,212.885,91.18,167.35,324.725,144.54,112.315,41.215,42.97,0,62.055,73.36,248.165,173.225,150.275,49.38,125.045,108.26,157.65,53.11,89.68,64.42,35.065,77.605,0,0,0,0,0,0,0
8,212.805,91.18,167.15,324.64,144.53,112.345,41.195,42.97,0,62.04,73.32,248.36,173.19,150.275,49.33,125.035,108.27,157.645,53.115,89.735,64.405,35.105,77.61,135.275,123.62,220.62,47.1,0,0,0
9,212.77,91.405,167.15,324.635,144.645,112.395,41.175,42.965,98.51,62.055,73.32,248.36,173.19,150.505,49.335,125.085,108.305,157.48,53.125,89.82,64.43,35.1,77.61,135.275,123.625,220.655,47.1,119.14,86.215,62.905
10,212.39,91.485,167.135,324.585,144.465,112.375,41.175,42.97,98.445,62.07,73.325,248.2,173.19,150.515,49.26,124.98,108.315,157.475,53.125,89.845,64.435,35.08,77.595,135.26,123.62,220.59,47.095,119.14,86.2,62.735
11,212.325,91.47,167.115,324.575,144.395,112.39,41.165,42.955,98.4,62.1,73.35,247.7,173.23,150.465,49.255,125.075,108.245,157.645,53.165,89.81,64.43,35.105,77.59,134.92,123.63,220.575,47.07,119.225,86.21,62.97
12,212.565,91.465,166.92,324.805,144.235,112.3,41.165,42.995,98.4,62.04,73.285,247.65,173.195,150.38,49.235,125.11,108.225,157.615,53.16,89.815,64.465,35.095,77.605,134.94,123.63,220.77,47.035,119.205,86.26,62.97
13,212.56,91.365,166.98,324.25,144.24,112.295,41.185,43.05,98.435,62.04,73.275,247.63,173.21,150.375,49.255,125.2,108.115,157.645,53.145,89.77,64.46,35.095,77.69,134.94,123.67,220.765,47.07,119.135,86.25,63.005
14,212.555,91.385,166.93,324.235,144.235,112.255,41.205,43.025,98.525,61.935,73.24,247.625,173.35,150.375,49.28,125.16,108.185,157.71,53.17,89.78,64.545,35.115,77.7,134.94,123.67,220.805,47.06,119.065,86.24,63.02
15,212.555,91.4,167.015,324.245,144.315,112.38,41.255,43.1,98.515,61.945,73.265,247.83,173.65,150.44,49.315,125.23,108.31,157.755,53.19,89.805,64.64,35.125,77.76,134.935,123.68,221.025,47.1,119.2,86.31,63.09
16,212.8,91.57,167.07,324.625,144.41,112.425,41.275,43.12,98.54,61.89,73.325,247.85,173.65,150.47,49.335,125.265,108.3,157.89,53.23,89.74,64.675,35.145,77.76,134.93,123.69,221.03,47.065,119.245,86.4,63.09
17,212.87,91.57,167.005,324.685,144.52,112.425,41.295,43.095,98.565,61.895,73.345,247.795,173.65,150.475,49.375,125.315,108.3,157.81,53.24,89.68,64.635,35.155,77.79,135.14,123.7,220.9,47.04,119.29,86.425,63.09
18,212.63,91.555,166.93,325.08,144.505,112.41,41.235,43.03,98.475,61.88,73.345,247.585,173.635,150.475,49.445,125.21,108.275,157.795,53.175,89.565,64.575,35.135,77.715,135.08,123.69,221.105,47.04,119.1,86.435,63.175
19,212.63,91.59,166.875,325.245,144.555,112.425,41.235,43.075,98.47,61.95,73.34,247.74,173.57,150.475,49.52,125.215,108.345,157.745,53.16,89.575,64.595,35.125,77.71,135.08,123.69,221.155,47.03,119.08,86.435,63.175
20,212.58,91.435,166.72,324.8,144.28,112.4,41.195,43.045,98.375,61.86,73.315,247.595,173.39,150.415,49.445,125.115,108.255,157.74,53.14,89.55,64.605,35.105,77.71,135.18,123.665,221.135,46.98,118.87,86.41,63.175
21,212.64,91.44,166.69,324.9,144.395,112.4,41.185,43.09,98.365,61.83,73.35,247.595,173.325,150.33,49.42,125.245,108.215,157.675,53.14,89.515,64.605,35.105,77.73,135.18,123.625,221.13,46.99,118.845,86.355,63.155
22,212.53,91.46,166.59,324.705,144.395,112.385,41.165,43.07,98.35,61.725,73.315,247.595,173.16,150.195,49.36,125.28,108.175,157.67,53.13,89.485,64.575,35.095,77.705,135.18,123.7,221.21,46.995,118.855,86.365,63.175
23,212.43,91.45,166.68,324.815,144.32,112.38,41.185,43.11,98.33,61.72,73.29,247.455,173.165,150.205,49.345,125.395,108.175,157.725,53.175,89.475,64.63,35.095,77.725,135.255,123.61,221.195,46.99,118.83,86.39,63.28
24,212.415,91.68,166.695,325.055,144.37,112.4,41.205,43.11,98.315,61.725,73.31,247.385,173.385,150.23,49.325,125.38,108.22,157.92,53.18,89.495,64.65,35.095,77.685,135.27,123.65,221.325,46.95,118.885,86.43,63.275
25,212.415,91.64,166.72,325.065,144.485,112.41,41.215,43.06,98.29,61.725,73.33,247.57,173.515,150.23,49.275,125.265,108.26,157.805,53.14,89.465,64.655,35.075,77.66,135.355,123.645,221.415,46.91,118.945,86.42,63.105
26,212.42,91.64,166.89,325.24,144.505,112.465,41.205,43.07,98.28,61.75,73.355,247.47,173.52,150.18,49.255,125.23,108.31,157.885,53.165,89.415,64.645,35.085,77.66,135.36,123.685,221.405,46.955,119.025,86.44,63.025
27,212.755,91.745,166.81,325.74,144.705,112.495,41.205,43.045,98.255,61.78,73.355,247.835,173.65,150.195,49.265,125.3,108.395,157.855,53.23,89.455,64.745,35.085,77.61,135.43,123.7,221.965,46.92,119.06,86.465,63.09
28,212.765,91.74,166.69,325.795,144.655,112.46,41.205,42.99,98.12,61.82,73.3,247.835,173.68,150.055,49.285,125.065,108.325,157.82,53.16,89.33,64.71,35.055,77.55,135.43,123.7,221.745,46.89,118.99,86.43,62.96
29,212.775,91.615,166.635,325.88,144.635,112.455,41.185,42.925,98.095,61.8,73.31,247.645,173.545,149.995,49.185,125.155,108.35,157.675,53.17,89.255,64.69,35.065,77.515,135.435,123.845,221.62,46.935,118.935,86.415,62.835
30,212.72,91.81,166.67,326.12,144.595,112.42,41.215,42.975,98.195,61.885,73.305,247.79,173.605,149.99,49.26,125.155,108.41,157.665,53.22,89.315,64.745,35.085,77.54,135.445,123.845,221.95,46.925,119.03,86.475,62.86
31,212.74,91.795,166.76,326.65,144.79,112.37,41.195,42.97,98.19,61.885,73.3,247.755,173.535,149.975,49.255,125.125,108.4,157.725,53.18,89.395,64.79,35.075,77.54,135.445,123.865,221.925,46.915,118.995,86.53,62.88
32,212.73,91.76,166.785,326.745,144.86,112.405,41.235,43.005,98.225,61.94,73.305,247.755,173.525,149.99,49.3,125.155,108.41,157.81,53.165,89.42,64.765,35.055,77.54,135.465,123.87,221.88,46.925,118.985,86.505,62.855
