Execution Time,Symbol,Price,Size,Liquidity Provider,Liquidity Taker,LP Order ID,LT Order ID,LP Order Type,LT Order Type,LP Order Time,LT Order Time,Fee,,,
18:11.7,CVX,130.99,2,Hidden,winwin,Hidden,0f0d2ccc-ed44-4e94-9526-ce654f8a7fc6,Sell,Buy,18:11.0,18:11.6,0.6,," $26,198.00 "," $26,198.00 "
18:11.7,CVX,130.99,1,Hidden,winwin,Hidden,0f0d2ccc-ed44-4e94-9526-ce654f8a7fc6,Sell,Buy,18:11.0,18:11.6,0.3,," $13,099.00 "," $39,297.00 "
18:11.7,GS,252.78,1,Hidden,winwin,Hidden,54825b16-9977-483c-8bd2-aa53dfad6089,Sell,Buy,17:57.8,18:11.6,0.3,," $25,278.00 "," $64,575.00 "
18:11.7,MCD,175.5,2,Hidden,winwin,Hidden,342cb701-5258-473f-9eb7-ddeb0a3e19eb,Sell,Buy,15:57.7,18:11.6,0.6,," $35,100.00 "," $99,675.00 "
18:11.7,DWDP,76.27,1,Hidden,winwin,Hidden,85113e15-b1c2-4a94-a02e-8c9e491ae7b0,Sell,Buy,17:16.9,18:11.6,0.3,," $7,627.00 "," $107,302.00 "
18:11.7,DWDP,76.27,4,Hidden,winwin,Hidden,85113e15-b1c2-4a94-a02e-8c9e491ae7b0,Sell,Buy,17:20.3,18:11.6,1.2,," $30,508.00 "," $137,810.00 "
18:11.7,DWDP,76.27,1,Hidden,winwin,Hidden,85113e15-b1c2-4a94-a02e-8c9e491ae7b0,Sell,Buy,17:41.2,18:11.6,0.3,," $7,627.00 "," $145,437.00 "
18:11.7,UNH,242.86,1,Hidden,winwin,Hidden,a62dd220-2c47-4880-b69b-889a97a2cace,Sell,Buy,17:14.9,18:11.7,0.3,," $24,286.00 "," $169,723.00 "
18:11.7,UNH,242.86,1,Hidden,winwin,Hidden,a62dd220-2c47-4880-b69b-889a97a2cace,Sell,Buy,17:41.5,18:11.7,0.3,," $24,286.00 "," $194,009.00 "
28:06.2,UTX,135.54,1,Hidden,winwin,Hidden,7840df7f-0e88-4a27-8ea9-2cb93dbe4d77,Sell,Buy,27:56.6,28:06.2,0.3,," $13,554.00 "," $207,563.00 "
28:06.2,UTX,135.54,1,Hidden,winwin,Hidden,7840df7f-0e88-4a27-8ea9-2cb93dbe4d77,Sell,Buy,27:57.6,28:06.2,0.3,," $13,554.00 "," $221,117.00 "
28:06.2,UTX,135.54,1,Hidden,winwin,Hidden,7840df7f-0e88-4a27-8ea9-2cb93dbe4d77,Sell,Buy,27:57.6,28:06.2,0.3,," $13,554.00 "," $234,671.00 "
31:04.6,MMM,247.58,1,Hidden,winwin,Hidden,a1e4072f-4a0f-4a02-a304-24c73978bff6,Sell,Buy,31:04.0,31:04.5,0.3,," $24,758.00 "," $259,429.00 "
31:04.6,MMM,247.59,1,Hidden,winwin,Hidden,a1e4072f-4a0f-4a02-a304-24c73978bff6,Sell,Buy,59:08.9,31:04.5,0.3,," $24,759.00 "," $284,188.00 "
33:03.5,WMT,104.34,1,Hidden,winwin,Hidden,f176394e-0d21-4bbb-9157-2392779ea98d,Sell,Buy,33:03.1,33:03.4,0.3,," $10,434.00 "," $294,622.00 "
33:03.5,WMT,104.34,1,Hidden,winwin,Hidden,f176394e-0d21-4bbb-9157-2392779ea98d,Sell,Buy,33:03.1,33:03.4,0.3,," $10,434.00 "," $305,056.00 "
33:03.5,WMT,104.34,1,Hidden,winwin,Hidden,f176394e-0d21-4bbb-9157-2392779ea98d,Sell,Buy,33:03.2,33:03.4,0.3,," $10,434.00 "," $315,490.00 "
33:03.5,WMT,104.35,1,Hidden,winwin,Hidden,f176394e-0d21-4bbb-9157-2392779ea98d,Sell,Buy,44:33.6,33:03.4,0.3,," $10,435.00 "," $325,925.00 "
35:02.4,NKE,66.49,3,Hidden,winwin,Hidden,a3fd60ee-8d65-4538-80f3-7caa27386ae2,Sell,Buy,53:47.8,35:02.4,0.9,," $19,947.00 "," $345,872.00 "
