Team,Symbol,Long Shares,Long Price,Short Shares,Short Price,Borrowed Balance,P&L,Updated P&L
winwin,MSFT,0,0,0,0,0,-320,-320
winwin,JNJ,0,0,0,0,0,0,0
winwin,KO,0,0,0,0,0,0,0
winwin,WBA,0,0,0,0,0,-336,-336
winwin,MCD,0,0,0,0,0,0,0
winwin,NKE,0,0,0,0,0,-72,-72
winwin,PFE,0,0,0,0,0,0,0
winwin,TRV,0,0,0,0,0,0,0
winwin,UTX,0,0,0,0,0,0,0
winwin,BA,0,0,0,0,0,-253,-253
winwin,CSCO,0,0,0,0,0,-143,-143
winwin,JPM,0,0,0,0,0,-549,-549
winwin,DWDP,0,0,0,0,0,-513,-513
winwin,AAPL,0,0,0,0,0,-246,-246
winwin,MRK,0,0,0,0,0,-114,-114
winwin,WMT,0,0,0,0,0,-167,-167
winwin,HD,0,0,0,0,0,46,46
winwin,V,0,0,0,0,0,-105,-105
winwin,GS,0,0,0,0,0,-530,-530
winwin,XOM,0,0,0,0,0,-490,-490
winwin,UNH,0,0,0,0,0,-125,-125
winwin,MMM,0,0,0,0,0,-509,-509
winwin,CAT,0,0,0,0,0,-237,-237
winwin,AXP,0,0,0,0,0,-268,-268
winwin,PG,0,0,0,0,0,0,0
winwin,VZ,0,0,0,0,0,0,0
winwin,INTC,0,0,0,0,0,50,50
winwin,DIS,0,0,0,0,0,64,64
winwin,IBM,0,0,0,0,0,-416,-416
winwin,CVX,0,0,0,0,0,-471,-471
