Execution Time,Symbol,Price,Size,Liquidity Provider,Liquidity Taker,LP Order ID,LT Order ID,LP Order Type,LT Order Type,LP Order Time,LT Order Time,Fee
18:18.0,V,130.92,1,Hidden,winwin,Hidden,d49c07af-3d11-4016-be85-e3809a85caae,Sell,Buy,18:06.3,18:18.0,0.3
18:18.0,V,130.92,2,Hidden,winwin,Hidden,d49c07af-3d11-4016-be85-e3809a85caae,Sell,Buy,18:06.3,18:18.0,0.6
18:18.0,HD,169.75,2,Hidden,winwin,Hidden,62dd16ec-0321-4a0c-b3f7-5f0a8f798eca,Sell,Buy,18:17.9,18:18.0,0.6
19:17.4,CAT,126.48,1,Hidden,winwin,Hidden,bbe1f71b-cb30-4290-8ad9-c40ec7ed72e4,Sell,Buy,19:12.2,19:17.4,0.3
19:17.4,CAT,126.48,2,Hidden,winwin,Hidden,bbe1f71b-cb30-4290-8ad9-c40ec7ed72e4,Sell,Buy,19:12.2,19:17.4,0.6
19:17.5,INTC,46.65,9,Hidden,winwin,Hidden,5d40019c-f83d-4109-ab6a-9caef5d39650,Sell,Buy,19:10.3,19:17.4,2.7
19:17.5,INTC,46.65,1,Hidden,winwin,Hidden,5d40019c-f83d-4109-ab6a-9caef5d39650,Sell,Buy,19:10.3,19:17.4,0.3
22:15.8,JPM,97.6,1,Hidden,winwin,Hidden,43b0772e-0d63-43ee-80f2-51b490f5695c,Sell,Buy,22:15.7,22:15.8,0.3
22:15.8,JPM,97.61,2,Hidden,winwin,Hidden,43b0772e-0d63-43ee-80f2-51b490f5695c,Sell,Buy,22:15.5,22:15.8,0.6
22:15.8,JPM,97.61,2,Hidden,winwin,Hidden,43b0772e-0d63-43ee-80f2-51b490f5695c,Sell,Buy,22:15.5,22:15.8,0.6
22:15.8,BA,318.59,1,Hidden,winwin,Hidden,d5eab701-ec2a-49b5-8fa5-eb5335ca2190,Sell,Buy,22:06.3,22:15.8,0.3
22:15.8,CSCO,42.8,11,Hidden,winwin,Hidden,9ad52c86-c22b-40f2-8987-ac581d993c31,Sell,Buy,22:15.6,22:15.8,3.3
27:13.6,GS,164.22,1,Hidden,winwin,Hidden,a8d15ec3-7ca2-4107-969e-26c92f68baca,Sell,Buy,27:12.7,27:13.4,0.3
27:13.6,GS,164.22,1,Hidden,winwin,Hidden,a8d15ec3-7ca2-4107-969e-26c92f68baca,Sell,Buy,27:13.3,27:13.4,0.3
27:13.6,GS,164.24,1,Hidden,winwin,Hidden,a8d15ec3-7ca2-4107-969e-26c92f68baca,Sell,Buy,27:09.1,27:13.4,0.3
30:11.4,NKE,73.22,6,Hidden,winwin,Hidden,b2c694a5-2d76-4237-907e-18d03a9f050f,Sell,Buy,30:09.5,30:11.4,1.8
38:07.1,CVX,109.39,1,Hidden,winwin,Hidden,976540ef-29b9-47ff-be0a-e7c5a2b9b600,Sell,Buy,38:06.3,38:07.8,0.3
38:07.1,CVX,109.4,1,Hidden,winwin,Hidden,976540ef-29b9-47ff-be0a-e7c5a2b9b600,Sell,Buy,38:06.3,38:07.8,0.3
38:07.1,CVX,109.4,2,Hidden,winwin,Hidden,976540ef-29b9-47ff-be0a-e7c5a2b9b600,Sell,Buy,38:06.3,38:07.8,0.6
39:06.5,DWDP,53.5,1,Hidden,winwin,Hidden,f758c1c8-89b9-4950-8479-74af79240460,Sell,Buy,06:13.7,39:06.5,0.3
39:06.5,DWDP,53.5,3,Hidden,winwin,Hidden,f758c1c8-89b9-4950-8479-74af79240460,Sell,Buy,06:13.7,39:06.5,0.9
39:06.5,DWDP,53.5,3,Hidden,winwin,Hidden,f758c1c8-89b9-4950-8479-74af79240460,Sell,Buy,06:13.7,39:06.5,0.9
39:06.5,DWDP,53.5,2,Hidden,winwin,Hidden,f758c1c8-89b9-4950-8479-74af79240460,Sell,Buy,06:18.3,39:06.5,0.6
39:06.6,MSFT,101,1,Hidden,winwin,Hidden,f015a459-ece9-480d-9e8c-9eb0c5aaf0b5,Sell,Buy,39:06.5,39:06.5,0.3
39:06.6,MSFT,101,2,Hidden,winwin,Hidden,f015a459-ece9-480d-9e8c-9eb0c5aaf0b5,Sell,Buy,39:06.5,39:06.5,0.6
39:06.6,MSFT,101,1,Hidden,winwin,Hidden,f015a459-ece9-480d-9e8c-9eb0c5aaf0b5,Sell,Buy,39:06.5,39:06.5,0.3
39:06.6,AAPL,156.81,3,Hidden,winwin,Hidden,ffe13728-b6a9-4eb9-bd89-295a686960cb,Sell,Buy,39:05.8,39:06.5,0.9
40:06.3,WBA,68.43,2,Hidden,winwin,Hidden,09f47ff1-edf4-4c4d-9241-2cb9c5f9bc5f,Sell,Buy,40:03.6,40:06.0,0.6
40:06.3,WBA,68.44,2,Hidden,winwin,Hidden,09f47ff1-edf4-4c4d-9241-2cb9c5f9bc5f,Sell,Buy,39:57.8,40:06.0,0.6
40:06.3,WBA,68.44,3,Hidden,winwin,Hidden,09f47ff1-edf4-4c4d-9241-2cb9c5f9bc5f,Sell,Buy,39:57.8,40:06.0,0.9
41:05.5,AXP,94.68,2,Hidden,winwin,Hidden,2d778479-b477-4e0d-a810-4be41283451a,Sell,Buy,40:57.0,41:05.4,0.6
41:05.5,AXP,94.68,1,Hidden,winwin,Hidden,2d778479-b477-4e0d-a810-4be41283451a,Sell,Buy,40:57.4,41:05.4,0.3
41:05.5,AXP,94.68,1,Hidden,winwin,Hidden,2d778479-b477-4e0d-a810-4be41283451a,Sell,Buy,40:57.4,41:05.4,0.3
41:05.5,AXP,94.68,1,Hidden,winwin,Hidden,2d778479-b477-4e0d-a810-4be41283451a,Sell,Buy,41:03.8,41:05.4,0.3
42:04.9,MMM,191.32,1,Hidden,winwin,Hidden,822f75c1-154b-46bf-a234-ed8a8c77e12e,Sell,Buy,42:03.8,42:04.9,0.3
42:04.9,MMM,191.33,1,Hidden,winwin,Hidden,822f75c1-154b-46bf-a234-ed8a8c77e12e,Sell,Buy,42:03.7,42:04.9,0.3
42:04.9,DIS,106.77,2,Hidden,winwin,Hidden,310a5347-4ae3-4e94-ae76-9504fc55cc28,Sell,Buy,42:02.8,42:04.9,0.6
42:04.9,DIS,106.77,2,Hidden,winwin,Hidden,310a5347-4ae3-4e94-ae76-9504fc55cc28,Sell,Buy,42:02.8,42:04.9,0.6
42:05.0,IBM,113.68,1,Hidden,winwin,Hidden,089f2b06-62c0-4d3d-ac12-52fb32ec6f8c,Sell,Buy,42:00.5,42:04.9,0.3
42:05.0,IBM,113.68,1,Hidden,winwin,Hidden,089f2b06-62c0-4d3d-ac12-52fb32ec6f8c,Sell,Buy,42:00.5,42:04.9,0.3
42:05.0,IBM,113.68,2,Hidden,winwin,Hidden,089f2b06-62c0-4d3d-ac12-52fb32ec6f8c,Sell,Buy,42:00.6,42:04.9,0.6
42:05.0,UNH,246.26,1,Hidden,winwin,Hidden,e977a5e5-8073-4b5e-9c58-86cae8e3a5c7,Sell,Buy,42:02.5,42:04.9,0.3
42:05.0,UNH,246.29,1,Hidden,winwin,Hidden,e977a5e5-8073-4b5e-9c58-86cae8e3a5c7,Sell,Buy,42:00.6,42:04.9,0.3
44:03.9,WMT,92.32,1,Hidden,winwin,Hidden,08aceac3-5af5-4a07-9a9f-4e1f5818cf3a,Sell,Buy,44:01.8,44:03.8,0.3
44:03.9,WMT,92.32,1,Hidden,winwin,Hidden,08aceac3-5af5-4a07-9a9f-4e1f5818cf3a,Sell,Buy,44:01.8,44:03.8,0.3
44:03.9,WMT,92.32,1,Hidden,winwin,Hidden,08aceac3-5af5-4a07-9a9f-4e1f5818cf3a,Sell,Buy,44:01.8,44:03.8,0.3
44:03.9,WMT,92.32,1,Hidden,winwin,Hidden,08aceac3-5af5-4a07-9a9f-4e1f5818cf3a,Sell,Buy,44:01.8,44:03.8,0.3
44:03.9,WMT,92.32,1,Hidden,winwin,Hidden,08aceac3-5af5-4a07-9a9f-4e1f5818cf3a,Sell,Buy,44:01.8,44:03.8,0.3
47:02.2,XOM,68.59,2,Hidden,winwin,Hidden,0bcda22e-5460-4700-98d5-90894ff75cc4,Sell,Buy,46:51.6,47:02.2,0.6
47:02.2,XOM,68.59,5,Hidden,winwin,Hidden,0bcda22e-5460-4700-98d5-90894ff75cc4,Sell,Buy,46:51.6,47:02.2,1.5
52:58.9,MRK,75.47,6,Hidden,winwin,Hidden,3fb72cde-092c-4b8d-9f3c-2d5241704173,Sell,Buy,52:58.2,52:58.9,1.8
46:50.3,IBM,112.64,3,Hidden,winwin,Hidden,26866050-ea94-45bb-b7f3-5ecc4ca31baa,Buy,Sell,46:45.3,46:50.3,0.9
46:50.4,INTC,46.7,10,Hidden,winwin,Hidden,b5f9ac78-4882-4a41-ae01-fc9f4a4e7de4,Buy,Sell,46:23.2,46:50.3,3
46:50.4,DIS,106.93,2,Hidden,winwin,Hidden,fc6c1686-42d3-4eea-a1e0-3173d0be970d,Buy,Sell,46:45.6,46:50.3,0.6
46:50.4,CSCO,42.67,4,Hidden,winwin,Hidden,795465a7-c46d-4da7-86a5-1b70bf4143ac,Buy,Sell,46:49.2,46:50.3,1.2
46:50.4,JPM,96.51,5,Hidden,winwin,Hidden,9c72daf0-99a6-4d0b-93f8-83448946c474,Buy,Sell,46:49.2,46:50.3,1.5
46:50.4,MRK,75.28,4,Hidden,winwin,Hidden,40bac30a-e73a-4edb-98e4-b94985a63e0a,Buy,Sell,46:50.2,46:50.3,1.2
46:50.4,DIS,106.93,2,Hidden,winwin,Hidden,fc6c1686-42d3-4eea-a1e0-3173d0be970d,Buy,Sell,46:45.6,46:50.3,0.6
46:50.3,IBM,112.64,1,Hidden,winwin,Hidden,26866050-ea94-45bb-b7f3-5ecc4ca31baa,Buy,Sell,46:45.6,46:50.3,0.3
46:50.4,CSCO,42.67,7,Hidden,winwin,Hidden,795465a7-c46d-4da7-86a5-1b70bf4143ac,Buy,Sell,46:49.2,46:50.3,2.1
46:50.4,MRK,75.28,1,Hidden,winwin,Hidden,40bac30a-e73a-4edb-98e4-b94985a63e0a,Buy,Sell,46:50.2,46:50.3,0.3
46:50.4,BA,316.06,1,Hidden,winwin,Hidden,c94de287-b741-4c26-81f2-e7468ddd7e0e,Buy,Sell,45:02.9,46:50.3,0.3
46:50.4,CVX,108.22,4,Hidden,winwin,Hidden,c26029a2-da48-4da7-afdd-9818d5f2bb14,Buy,Sell,46:44.5,46:50.3,1.2
46:50.4,HD,169.98,1,Hidden,winwin,Hidden,79e03551-ae38-463c-9d16-3f8221119e8d,Buy,Sell,46:48.3,46:50.3,0.3
46:50.4,GS,162.46,1,Hidden,winwin,Hidden,aa523098-c843-40ef-9775-1a318858c242,Buy,Sell,45:44.4,46:50.3,0.3
46:50.4,CAT,125.69,1,Hidden,winwin,Hidden,13a3591b-68e3-4e53-804b-f022e208d852,Buy,Sell,46:49.7,46:50.3,0.3
46:50.4,AAPL,155.99,3,Hidden,winwin,Hidden,ff2b0d9b-c9ef-48fa-9596-0dde8bef28ee,Buy,Sell,45:03.8,46:50.3,0.9
46:50.4,WMT,91.99,1,Hidden,winwin,Hidden,bca676f7-3ccf-4176-9251-5d8186b860fb,Buy,Sell,46:49.2,46:50.4,0.3
