Execution Time,Symbol,Price,Size,Liquidity Provider,Liquidity Taker,LP Order ID,LT Order ID,LP Order Type,LT Order Type,LP Order Time,LT Order Time,Fee
20:14.6,GS,179.94,1,Hidden,winwin,Hidden,0ae9f0cb-1a3d-45e7-8567-a5c0e2e644b0,Buy,Sell,20:06.5,20:14.6,0.3
20:14.6,GS,179.94,1,Hidden,winwin,Hidden,0ae9f0cb-1a3d-45e7-8567-a5c0e2e644b0,Buy,Sell,20:11.3,20:14.6,0.3
20:14.6,TRV,124.43,1,Hidden,winwin,Hidden,c20f53fc-a778-4133-aa3e-95b53ac57a0c,Buy,Sell,20:05.5,20:14.6,0.3
20:14.6,TRV,124.43,1,Hidden,winwin,Hidden,c20f53fc-a778-4133-aa3e-95b53ac57a0c,Buy,Sell,20:05.2,20:14.6,0.3
20:14.7,PG,92.71,1,Hidden,winwin,Hidden,418d0164-7660-4041-a057-1c2f6fbba057,Buy,Sell,17:06.3,20:14.6,0.3
20:14.7,PG,92.71,2,Hidden,winwin,Hidden,418d0164-7660-4041-a057-1c2f6fbba057,Buy,Sell,17:06.3,20:14.6,0.6
20:14.7,PG,92.71,1,Hidden,winwin,Hidden,418d0164-7660-4041-a057-1c2f6fbba057,Buy,Sell,17:14.4,20:14.6,0.3
20:14.6,TRV,124.43,1,Hidden,winwin,Hidden,c20f53fc-a778-4133-aa3e-95b53ac57a0c,Buy,Sell,20:05.3,20:14.6,0.3
20:14.7,IBM,119.38,1,Hidden,winwin,Hidden,afcb9a5f-e16a-4111-badd-4fed4442cbc4,Buy,Sell,20:14.6,20:14.6,0.3
20:14.7,IBM,0,1,winwin,Hidden,afcb9a5f-e16a-4111-badd-4fed4442cbc4,Hidden,Sell,Buy,20:14.6,20:14.6,-0.2
20:14.7,IBM,0,1,winwin,Hidden,afcb9a5f-e16a-4111-badd-4fed4442cbc4,Hidden,Sell,Buy,20:14.6,20:14.6,-0.2
20:14.7,AXP,107.49,2,Hidden,winwin,Hidden,3b491826-df17-4b90-8220-f33e20be9e2a,Buy,Sell,20:10.4,20:14.6,0.6
20:14.7,AXP,107.49,1,Hidden,winwin,Hidden,3b491826-df17-4b90-8220-f33e20be9e2a,Buy,Sell,20:10.4,20:14.6,0.3
21:14.7,CAT,125.26,1,Hidden,winwin,Hidden,dbb5144d-42f0-4703-abaf-b004f580b1cb,Buy,Sell,21:04.4,21:14.7,0.3
21:14.7,CAT,125.25,1,Hidden,winwin,Hidden,dbb5144d-42f0-4703-abaf-b004f580b1cb,Buy,Sell,21:01.6,21:14.7,0.3
21:14.7,CAT,125.25,1,Hidden,winwin,Hidden,dbb5144d-42f0-4703-abaf-b004f580b1cb,Buy,Sell,21:03.6,21:14.7,0.3
21:14.8,BA,324.91,1,Hidden,winwin,Hidden,0d98f0f0-c335-45fd-911c-3d42d1fffc78,Buy,Sell,21:06.3,21:14.7,0.3
21:14.8,MMM,199.41,1,Hidden,winwin,Hidden,4f16556e-23d5-4740-a4d5-9e62465d293f,Buy,Sell,18:06.4,21:14.7,0.3
21:14.8,MMM,199.4,1,Hidden,winwin,Hidden,4f16556e-23d5-4740-a4d5-9e62465d293f,Buy,Sell,15:52.6,21:14.7,0.3
21:14.8,AAPL,170.41,2,Hidden,winwin,Hidden,8c327a73-d5be-488e-bf4b-2a39d75c4a48,Buy,Sell,21:14.3,21:14.7,0.6
21:15.0,HD,174.42,2,Hidden,winwin,Hidden,7ec16c01-a905-466b-8293-6315a3f25f76,Buy,Sell,21:12.6,21:14.8,0.6
21:14.1,CVX,117.12,3,Hidden,winwin,Hidden,6ed1a4de-5590-4285-bd41-a82ed1bb55a2,Buy,Sell,21:07.3,21:14.7,0.9
21:14.1,DIS,112.41,1,Hidden,winwin,Hidden,c57ada4c-20f9-4993-8495-88f2ebf95e55,Buy,Sell,21:01.9,21:14.8,0.3
21:14.1,DIS,112.41,1,Hidden,winwin,Hidden,c57ada4c-20f9-4993-8495-88f2ebf95e55,Buy,Sell,21:01.9,21:14.8,0.3
21:14.1,DIS,112.41,1,Hidden,winwin,Hidden,c57ada4c-20f9-4993-8495-88f2ebf95e55,Buy,Sell,21:03.6,21:14.8,0.3
21:14.1,DWDP,56.05,2,Hidden,winwin,Hidden,4cc82981-824e-458f-9c34-000145dd2bd1,Buy,Sell,20:53.5,21:14.8,0.6
21:14.1,DWDP,56.05,2,Hidden,winwin,Hidden,4cc82981-824e-458f-9c34-000145dd2bd1,Buy,Sell,20:53.5,21:14.8,0.6
21:14.1,DWDP,56.05,1,Hidden,winwin,Hidden,4cc82981-824e-458f-9c34-000145dd2bd1,Buy,Sell,20:53.5,21:14.8,0.3
21:14.1,DWDP,56.05,2,Hidden,winwin,Hidden,4cc82981-824e-458f-9c34-000145dd2bd1,Buy,Sell,21:13.2,21:14.8,0.6
21:14.1,JNJ,144.74,1,Hidden,winwin,Hidden,2b82d5ae-9292-4591-a985-d1c3313142d6,Buy,Sell,21:06.7,21:14.9,0.3
21:14.1,JNJ,144.74,1,Hidden,winwin,Hidden,2b82d5ae-9292-4591-a985-d1c3313142d6,Buy,Sell,21:07.1,21:14.9,0.3
21:14.1,CSCO,47.5,7,Hidden,winwin,Hidden,7801a3d1-f6b1-4c8a-9d22-041b71ebfde0,Buy,Sell,21:05.3,21:14.8,2.1
21:14.1,CSCO,47.5,1,Hidden,winwin,Hidden,7801a3d1-f6b1-4c8a-9d22-041b71ebfde0,Buy,Sell,21:05.3,21:14.8,0.3
21:14.1,JPM,103.67,3,Hidden,winwin,Hidden,de40b2cb-aee6-46e1-8ca1-f61f570fe234,Buy,Sell,21:13.3,21:14.9,0.9
