,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DIS,DWDP,XOM,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UTX,UNH,VZ,V,WMT,WBA
0,246.37,99.255,165.74,354.29,160.21,123.76,41.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,246.37,99.19,165.635,354.085,160.215,123.76,41.655,47.285,0,73.05,85.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,246.38,99.17,165.45,354.085,160.36,123.015,41.81,47.325,0,73.07,85.96,269.85,198.83,161.44,47.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,246.375,99.2,165.605,354.075,160.56,122.76,41.89,47.315,0,73.07,85.56,269.885,198.83,161.62,47.69,139.385,116.615,0,0,0,0,0,0,0,0,0,0,0,0,0
4,246.385,99.31,165.665,354.095,160.565,123.32,41.91,47.3,0,73.125,85.47,270.01,198.82,161.66,47.73,139.395,116.735,170.96,59.465,93.71,0,0,0,0,0,0,0,0,0,0
5,246.385,99.31,165.85,353.75,160.485,123.435,41.945,47.22,0,73.15,85.9,270.025,198.8,161.685,47.77,139.315,116.755,171.035,59.455,93.62,67.305,36.685,0,0,0,0,0,0,0,0
6,246.17,99.305,165.85,353.72,160.44,123.425,41.885,47.245,0,73.16,85.765,270.285,198.79,161.845,47.785,139.31,116.815,170.885,59.48,93.6,67.33,36.63,85.535,149.855,137.33,233.295,54.13,0,0,0
7,246.34,99.32,165.87,353.7,160.26,123.38,41.84,47.215,110.085,73.165,85.835,270.56,198.79,161.71,47.72,139.285,116.825,170.725,59.625,93.52,67.3,36.665,85.515,149.855,137.33,233.26,54.035,123.51,105.37,76.155
8,246.14,99.31,165.93,353.565,160.205,123.385,41.82,47.205,110.09,73.025,85.9,270.865,198.785,161.605,47.63,139.16,116.815,170.715,59.65,93.44,67.315,36.675,85.49,149.855,137.33,233.26,54.04,123.515,105.395,76.155
9,246.125,99.23,165.755,353.385,160.11,123.46,41.8,47.225,110.045,72.755,85.425,270.81,198.65,161.59,47.595,139.32,116.755,170.71,59.68,93.44,67.325,36.735,85.49,149.89,137.33,233.21,53.975,123.465,105.405,75.935
10,246.17,99.22,165.52,353.36,160.175,123.31,41.81,47.26,110.165,72.76,85.275,270.8,198.575,161.57,47.67,139.335,116.765,170.725,59.615,93.415,67.36,36.775,85.5,149.89,137.385,233.14,53.995,123.36,105.405,75.91
11,246.185,99.215,165.23,353.36,160.125,123.46,41.815,47.275,110.22,72.88,85.29,270.82,198.645,161.445,47.645,139.335,116.815,170.785,59.55,93.43,67.36,36.825,85.515,149.895,137.555,233.13,54.025,123.53,105.38,75.935
12,246.16,99.215,165.335,353.605,160.16,123.645,41.82,47.285,110.19,72.92,85.555,270.935,198.64,161.415,47.53,139.39,116.81,170.765,59.505,93.255,67.44,36.875,85.525,149.88,137.695,233.105,54,123.465,105.435,75.945
13,246.335,99.215,165.395,353.8,160.175,123.47,41.86,47.305,110.195,72.885,85.505,270.92,198.315,161.49,47.565,139.385,116.78,170.79,59.16,93.37,67.545,36.795,85.475,149.875,137.695,233.08,53.97,123.555,105.515,75.92
14,246.34,99.375,165.39,353.795,160.17,123.41,41.88,47.325,110.255,72.92,85.5,271.045,198.405,161.505,47.6,139.405,116.8,170.77,59.155,93.485,67.6,36.805,85.47,150.13,137.695,233.025,53.98,123.57,105.55,75.92
15,246.34,99.385,165.35,353.795,160.24,123.345,41.835,47.315,110.27,72.92,85.4,271.53,198.43,161.495,47.515,139.46,116.855,170.94,59.09,93.5,67.555,36.795,85.48,150.145,137.69,233.03,53.93,123.545,105.585,75.86
16,246.315,99.385,165.115,353.89,160.225,123.255,41.835,47.265,110.27,73.04,85.55,271.515,198.415,161.42,47.56,139.485,116.875,170.875,59.315,93.495,67.555,36.785,85.37,150.145,137.48,233.1,53.84,123.5,105.56,75.85
17,246.07,99.275,165.105,353.9,160.27,123.39,41.81,47.255,110.15,72.975,85.485,271.36,198.195,161.41,47.575,139.515,116.855,170.84,59.395,93.485,67.54,36.795,85.42,150.145,137.34,233.095,53.84,123.515,105.505,75.81
18,246.07,99.265,165,353.79,160.16,123.255,41.845,47.245,110.285,72.965,85.48,271.45,198.19,161.4,47.67,139.515,116.885,170.84,59.425,93.535,67.555,36.785,85.4,150.165,137.34,233.11,53.915,123.455,105.505,75.875
19,246.035,99.275,164.91,353.75,160.085,123.23,41.865,47.255,110.36,72.84,85.565,271.585,198.19,161.34,47.565,139.495,116.88,170.855,59.435,93.505,67.555,36.835,85.395,150.3,137.335,233.105,53.945,123.39,105.525,75.81
20,245.955,99.355,165.025,353.655,160.145,123.075,41.815,47.235,110.34,72.82,85.645,271.51,198.285,161.34,47.515,139.48,116.87,170.825,59.435,93.51,67.61,36.795,85.37,150.325,137.345,232.995,53.875,123.35,105.465,75.805
21,245.955,99.285,165.43,353.645,160.1,123.145,41.755,47.275,110.2,72.8,85.73,271.445,198.13,161.25,47.53,139.5,116.88,170.9,59.445,93.495,67.63,36.775,85.36,150.325,137.325,233,53.85,123.105,105.43,75.61
22,245.99,99.29,165.095,353.63,160.095,123.14,41.795,47.275,110.2,72.775,85.695,271.4,198.14,161.19,47.49,139.495,116.875,170.915,59.505,93.5,67.715,36.795,85.37,150.325,137.35,233.02,53.855,123.085,105.45,75.61
