,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DIS,DWDP,XOM,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UTX,UNH,VZ,V,WMT,WBA
0,239.91,97.885,178.725,352.61,157.03,115.53,45.195,44.665,104.335,71.47,74.905,270.52,179.915,158.62,51.965,132.675,117.105,155.84,54.895,95.985,66.13,36.785,80.655,140.83,132.76,224.64,48.755,123.45,87.86,69.605
1,239.68,97.78,178.675,352.465,156.985,115.415,45.205,44.645,104.245,71.46,74.845,270.09,179.82,158.49,51.935,132.55,116.985,155.81,54.845,95.995,66.055,36.745,80.595,140.735,132.765,224.6,48.735,123.455,87.865,69.54
2,239.66,97.775,178.675,352.44,156.875,115.405,45.19,44.635,104.2,71.475,74.795,269.89,179.83,158.375,51.935,132.555,116.99,155.78,54.855,95.995,66.025,36.74,80.565,140.655,132.785,224.585,48.775,123.46,87.845,69.535
3,239.655,97.805,178.675,352.375,156.975,115.405,45.205,44.645,104.2,71.47,74.825,269.805,179.86,158.48,51.915,132.505,117.02,155.805,54.885,95.96,66.025,36.725,80.555,140.695,132.885,224.485,48.745,123.44,87.865,69.56
4,239.8,97.89,178.765,352.495,157.07,115.485,45.235,44.675,104.25,71.535,74.845,270.15,180.025,158.565,51.935,132.51,117.125,155.89,54.865,95.985,66.07,36.735,80.555,140.8,132.98,224.615,48.765,123.515,87.845,69.57
5,239.555,97.805,178.615,352.41,156.9,115.42,45.195,44.665,104.195,71.46,74.845,269.845,179.905,158.51,51.935,132.46,116.995,155.89,54.865,95.915,65.995,36.735,80.505,140.635,132.905,224.49,48.745,123.465,87.795,69.555
6,239.595,97.8,178.595,352.15,156.81,115.34,45.205,44.655,104.19,71.435,74.785,269.655,179.875,158.395,51.945,132.44,116.985,155.965,54.855,95.815,65.995,36.735,80.485,140.635,132.86,224.48,48.775,123.42,87.735,69.575
7,239.57,97.825,178.61,352.23,156.8,115.3,45.225,44.645,104.2,71.445,74.755,269.76,179.955,158.34,51.975,132.415,116.96,156,54.865,95.885,66.065,36.735,80.435,140.63,132.895,224.62,48.755,123.415,87.745,69.605
8,239.455,97.805,178.565,352.22,156.79,115.415,45.215,44.655,104.175,71.405,74.755,269.69,179.885,158.33,51.92,132.36,116.875,156.07,54.835,95.845,66.05,36.735,80.405,140.555,132.885,224.67,48.735,123.395,87.675,69.59
9,239.375,97.815,178.615,352.26,156.91,115.385,45.215,44.635,104.18,71.42,74.755,269.835,179.915,158.37,51.915,132.35,116.865,155.91,54.825,95.865,66.045,36.735,80.395,140.48,132.88,224.675,48.725,123.415,87.665,69.535
10,239.415,97.74,178.655,352.32,156.85,115.41,45.215,44.625,104.195,71.405,74.785,269.7,179.855,158.355,51.865,132.32,116.815,155.87,54.825,95.865,66.02,36.685,80.355,140.48,132.965,224.625,48.735,123.41,87.555,69.515
11,239.36,97.71,178.565,352.35,156.86,115.44,45.205,44.615,104.22,71.41,74.745,269.795,179.835,158.3,51.865,132.31,116.735,155.905,54.835,95.855,66.035,36.685,80.325,140.43,133.015,224.62,48.735,123.41,87.575,69.525
12,239.505,97.7,178.605,352.45,157.015,115.45,45.215,44.625,104.21,71.445,74.735,269.82,179.88,158.34,51.885,132.43,116.805,155.955,54.885,95.895,66.055,36.695,80.315,140.49,133.11,224.585,48.755,123.43,87.575,69.54
13,239.49,97.71,178.585,352.55,157.025,115.545,45.235,44.615,104.255,71.48,74.775,270.01,179.945,158.36,51.875,132.35,116.865,155.97,54.865,95.905,66.03,36.705,80.305,140.455,133.1,224.48,48.745,123.47,87.65,69.585
14,239.6,97.755,178.665,352.725,157.065,115.525,45.235,44.585,104.25,71.475,74.795,270.035,179.95,158.305,51.895,132.385,116.9,156.05,54.855,95.925,66.085,36.705,80.275,140.425,133.08,224.61,48.735,123.525,87.68,69.595
15,239.705,97.8,178.72,352.8,157.095,115.5,45.235,44.585,104.255,71.405,74.755,270.035,180.01,158.33,51.875,132.36,116.945,156.095,54.865,95.945,66.075,36.715,80.315,140.405,133.09,224.6,48.735,123.545,87.665,69.575
16,239.755,97.815,178.715,352.755,157.125,115.575,45.235,44.595,104.285,71.42,74.825,270.265,179.975,158.345,51.885,132.46,116.995,156.195,54.885,95.905,66.065,36.745,80.305,140.59,133.04,224.645,48.705,123.615,87.715,69.58
17,239.795,97.73,178.735,352.84,157.055,115.5,45.185,44.595,104.25,71.38,74.755,270.085,179.89,158.205,51.905,132.455,116.905,156.055,54.865,95.815,66.035,36.725,80.275,140.44,132.805,224.625,48.655,123.615,87.7,69.545
18,239.69,97.69,178.785,352.855,156.985,115.51,45.185,44.585,104.265,71.36,74.745,270.01,179.9,158.12,51.895,132.44,116.875,156.18,54.865,95.705,66.025,36.73,80.265,140.47,132.96,224.645,48.695,123.605,87.695,69.56
19,239.535,97.595,178.785,352.58,156.79,115.505,45.145,44.575,104.24,71.28,74.715,269.845,179.865,158.04,51.885,132.385,116.8,156.21,54.855,95.695,66.005,36.715,80.275,140.32,133.005,224.61,48.685,123.51,87.705,69.545
20,239.565,97.575,178.765,352.495,156.67,115.515,45.125,44.575,104.26,71.28,74.735,269.905,179.885,157.99,51.885,132.42,116.83,156.19,54.835,95.635,66.045,36.725,80.285,140.35,133.01,224.475,48.685,123.47,87.705,69.575
21,239.71,97.565,178.835,352.475,156.815,115.525,45.135,44.595,104.245,71.315,74.705,269.975,179.885,158.025,51.89,132.42,116.845,156.12,54.825,95.68,66.055,36.725,80.335,140.3,132.99,224.48,48.705,123.495,87.755,69.575
22,239.72,97.605,178.875,352.635,156.95,115.625,45.145,44.605,104.25,71.355,74.775,270.04,179.815,157.985,51.925,132.395,116.885,156.08,54.825,95.715,66.065,36.725,80.325,140.365,133.02,224.475,48.715,123.52,87.675,69.58
