	MMM	AXP	AAPL	BA	CAT	CVX	CSCO	KO	DIS	DWDP	XOM	GS	HD	IBM	INTC	JNJ	JPM	MCD	MRK	MSFT	NKE	PFE	PG	TRV	UTX	UNH	VZ	V	WMT	WBA
0	217.795	91.6	168.09	330.845	147.9	114.315	43.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	218.29	91.515	168.085	331.26	147.95	114.32	43.155	42.59	0	63.615	73.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	218.305	91.46	168.04	331.37	148.07	114.32	43.145	42.62	0	63.575	73.525	250.615	174.235	151.13	50.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	218.13	91.475	168.01	331.27	148.125	114.345	43.13	42.585	0	63.535	73.545	250.47	174.34	151.14	50.47	126.45	109.1	0	0	0	0	0	0	0	0	0	0	0	0	0
4	217.835	91.48	168.02	331.37	147.975	114.36	43.135	42.575	0	63.5	73.535	250.45	174.38	151.055	50.565	126.32	109.065	156.44	53.955	0	0	0	0	0	0	0	0	0	0	0
5	217.475	91.455	168.085	331.535	148.1	114.355	43.175	42.575	0	63.49	73.53	250.46	174.53	151.055	50.63	126.26	109.185	156.66	54.01	90.755	0	0	0	0	0	0	0	0	0	0
6	217.49	91.44	168.05	331.43	148.04	114.365	43.165	42.61	0	63.555	73.555	250.49	174.86	151.13	50.605	126.195	109.065	156.72	53.995	90.75	0	0	0	0	0	0	0	0	0	0
7	217.615	91.465	168.02	330.475	148.11	114.325	43.195	42.62	0	63.55	73.57	250.77	174.855	151.13	50.64	126.165	109.205	156.705	53.99	90.82	65.26	34.86	0	0	0	0	0	0	0	0
8	217.695	91.465	168.025	330.61	148.13	114.3	43.195	42.64	0	63.56	73.625	250.775	174.795	151.135	50.625	126.135	109.3	156.9	53.99	90.855	65.195	34.88	76.63	136.715	0	216.115	0	0	0	0
9	217.735	91.7	168.05	331.07	148.245	114.415	43.225	42.625	0	63.645	73.65	250.81	174.805	151.11	50.68	126.27	109.44	156.895	53.98	90.955	65.265	34.89	76.76	136.74	123.95	216.12	46.845	119.17	0	0
10	217.575	91.68	167.84	331.58	148.155	114.415	43.255	42.575	99.65	63.72	73.655	250.82	174.79	151.095	50.655	126.265	109.43	156.9	53.96	91.045	65.29	34.85	76.74	136.74	123.86	215.86	46.845	119.225	86.395	66.35
11	217.68	91.925	167.825	331.52	148.285	114.41	43.275	42.575	99.68	63.805	73.685	250.82	174.89	151.09	50.695	126.29	109.48	156.76	53.96	91.105	65.355	34.87	76.71	136.74	123.875	216.09	46.865	119.275	86.45	66.35
12	218.13	91.93	167.91	331.575	148.215	114.375	43.285	42.565	99.655	63.73	73.625	250.87	174.785	150.96	50.69	126.135	109.465	156.78	53.925	91.12	65.385	34.85	76.65	136.72	123.935	216.1	46.88	119.18	86.42	66.345
13	218.175	91.93	167.965	331.475	148.255	114.405	43.305	42.545	99.605	63.685	73.595	251.035	174.795	150.96	50.74	126.07	109.51	156.775	53.905	91.22	65.39	34.825	76.61	136.725	123.96	216.1	46.87	119.19	86.38	66.335
14	218.035	91.925	167.89	331.52	148.24	114.345	43.285	42.54	99.54	63.65	73.585	251.14	174.855	151.095	50.755	126.1	109.54	156.74	53.89	91.215	65.485	34.865	76.675	136.76	123.985	216.1	46.845	119.045	86.415	66.265
