,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DIS,DWDP,XOM,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UTX,UNH,VZ,V,WMT,WBA
0,196.88,105.795,205.985,367.355,133.445,120.155,46.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,196.955,105.775,205.9,367.435,133.39,120.145,46.93,49.39,0,58.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,196.96,105.64,205.775,367.34,133.01,120.31,46.885,49.475,0,58.98,82.265,230.19,183.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,196.89,105.53,205.75,367.34,132.85,120.37,46.895,49.465,0,59.02,82.22,230.13,183.73,123.445,47.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,196.78,105.5,205.74,367.34,132.295,120.655,46.82,49.465,0,59.1,82.28,230.13,183.665,123.435,47.715,143.2,110.275,0,0,0,0,0,0,0,0,0,0,0,0,0
5,196.8,105.505,205.9,367.465,132.345,120.68,46.885,49.455,0,59.185,82.28,229.865,183.665,123.41,47.795,143.21,110.405,183.21,74.355,109.865,0,0,0,0,0,0,0,0,0,0
6,197.145,105.675,205.76,367.23,132.52,120.775,46.865,49.415,0,59.175,82.42,229.85,183.825,123.365,47.725,143.215,110.43,183.275,74.36,109.95,0,0,0,0,0,0,0,0,0,0
7,197.15,105.71,205.745,367.225,132.825,120.825,46.845,49.425,0,59.14,82.29,230.155,183.82,123.355,47.735,143.17,110.47,183.275,74.26,109.845,76.72,43.32,0,0,0,0,0,0,0,0
8,197.085,105.695,205.675,366.82,132.815,120.775,46.865,49.435,0,59.195,82.3,230.095,183.945,123.295,47.725,143.04,110.51,183.29,74.245,109.81,76.745,43.31,91.335,129.18,0,270.505,0,0,0,0
9,197.14,105.735,205.78,366.77,132.665,120.78,46.905,49.44,0,59.215,82.29,230.13,183.885,123.26,47.715,143.025,110.535,183.395,74.265,109.905,76.74,43.335,91.39,129.295,128.935,270.135,57.455,142.885,0,0
10,197.135,105.79,205.59,366.515,132.815,120.855,46.885,49.445,116.615,59.23,82.235,230.015,184.06,123.26,47.705,143.04,110.52,183.425,74.295,109.795,76.745,43.345,91.445,129.33,128.925,269.99,57.52,142.92,103.485,81.04
11,197.15,105.805,205.425,366.48,132.67,120.82,46.885,49.475,116.59,59.29,82.245,230.01,183.775,123.315,47.725,143.245,110.47,183.445,74.355,109.82,76.67,43.345,91.475,129.33,128.925,269.68,57.49,142.69,103.595,81.13
12,197.23,105.875,205.74,366.43,132.825,120.84,46.885,49.455,116.655,59.31,82.275,230.02,183.87,123.525,47.735,143.17,110.57,183.545,74.42,109.86,76.67,43.385,91.515,129.45,128.815,269.75,57.47,142.655,103.71,81.14
