	MMM	AXP	AAPL	BA	CAT	CVX	CSCO	KO	DIS	DWDP	XOM	GS	HD	IBM	INTC	JNJ	JPM	MCD	MRK	MSFT	NKE	PFE	PG	TRV	UTX	UNH	VZ	V	WMT	WBA
0	196.925	105.64	205.775	367.34	132.985	120.37	46.885	49.47	0	59.035	82.27	230.13	183.73	123.645	47.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	196.835	105.555	205.75	367.34	132.53	120.575	46.895	49.465	0	59.035	82.41	230.13	183.665	123.42	47.72	143.185	110.305	0	0	0	0	0	0	0	0	0	0	0	0	0
2	196.8	105.5	205.77	367.34	132.295	120.705	46.855	49.455	0	59.13	82.28	229.85	183.665	123.44	47.72	143.205	110.275	183.21	74.35	0	0	0	0	0	0	0	0	0	0	0
3	197.075	105.505	205.72	367.195	132.345	120.73	46.885	49.445	0	59.185	82.28	229.865	183.665	123.37	47.735	143.215	110.395	183.21	74.36	109.84	0	0	0	0	0	0	0	0	0	0
4	197.145	105.66	205.72	367.24	132.585	120.77	46.855	49.44	0	59.185	82.29	230.115	183.82	123.365	47.705	143.21	110.445	183.275	74.3	109.85	76.755	0	0	0	0	0	0	0	0	0
5	197.15	105.695	205.74	367.105	132.82	120.765	46.855	49.425	0	59.15	82.265	230.155	183.955	123.315	47.725	143.16	110.465	183.275	74.255	109.79	76.72	43.31	91.36	129.11	0	0	0	0	0	0
6	197.135	105.805	205.705	366.74	132.635	120.79	46.895	49.43	0	59.195	82.245	230.095	183.94	123.26	47.725	143.03	110.515	183.29	74.245	109.825	76.74	43.3	91.4	129.18	128.935	270.435	57.455	143.04	0	0
7	197.14	105.73	205.81	366.515	132.645	120.805	46.915	49.435	116.61	59.205	82.335	229.995	183.885	123.26	47.715	143.03	110.53	183.435	74.275	109.895	76.74	43.335	91.395	129.33	128.935	269.99	57.475	142.96	103.485	81.03
8	197.12	105.795	205.435	366.515	132.775	120.815	46.865	49.455	116.595	59.25	82.28	230.01	184.075	123.285	47.695	143.265	110.49	183.425	74.325	109.79	76.68	43.345	91.47	129.34	128.925	269.635	57.51	142.86	103.57	81.165
9	197.15	105.81	205.345	366.48	132.77	120.855	46.875	49.48	116.575	59.265	82.265	229.995	183.87	123.315	47.705	143.17	110.465	183.445	74.37	109.74	76.665	43.355	91.475	129.335	128.84	269.68	57.485	142.6	103.595	81.16
